Master;Type;Source;Buckets;Template_Name;Date;version
15;D;15_2;15_Electrique_CC1U_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1U_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1U_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1U_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1K3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1K3_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1K3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1K3_V47;17/6/2020;47
15;D;15_4;15_Electrique_CC1L_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1L_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CC1L_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1L_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1W_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1W_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1W_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1W_V47;17/6/2020;47
15;D;15_2;15_Electrique_CC1C7_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1C7_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CC1C7_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1C7_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1M_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1M_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1M_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1M_V47;17/6/2020;47
15;D;15_8;15_Electrique_CC1M1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1M1_V47;17/6/2020;47
15;W;WEB_15_8;15_Electrique_CC1M1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1M1_V47;17/6/2020;47
15;D;15_8;15_Electrique_CC1M11_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1M11_V47;17/6/2020;47
15;W;WEB_15_8;15_Electrique_CC1M11_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1M11_V47;17/6/2020;47
15;D;15_4;15_Electrique_CC1M2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1M2_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CC1M2_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1M2_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1M3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1M3_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1M3_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1M3_V47;17/6/2020;47
